name,author_name,author_movement,genre
Messrs. Glembay,Miroslav Krle�a,Socialist realism,Drama
Stone Hotel,Raegan Butcher,Punk literature,Poetry
Ballads of Petrica Kerempuh,Miroslav Krle�a,Socialist realism,Poetry
Ballads of Petrica Kerempuh,Miroslav Krle�a,Expressionism,Poetry
Jonah (poetry book),Arthur Boyd,Antipodeans,Poetry
Rusty String Quartet,Raegan Butcher,Punk literature,Poetry
My Son the Fanatic,Hanif Kureishi,Postcolonial literature,Short story
On Beauty,Zadie Smith,Postmodernism,Novel
On Beauty,Zadie Smith,Realism (arts),Novel
On Beauty,Zadie Smith,Hysterical realism,Novel
NW (novel),Zadie Smith,Hysterical realism,Novel
NW (novel),Zadie Smith,Realism (arts),Novel
NW (novel),Zadie Smith,Postmodernism,Novel
NW (novel),Zadie Smith,Realism (arts),Experimental literature
NW (novel),Zadie Smith,Hysterical realism,Experimental literature
NW (novel),Zadie Smith,Postmodernism,Experimental literature
Jugari Cross,Poornachandra Tejaswi,Bandaya movement,Fiction
Mar�a (novel),Jorge Isaacs,Romanticism,Romanticism
The Snake's Skin,Grigol Robakidze,Modernism,Literary modernism
The Snake's Skin,Grigol Robakidze,Symbolism (arts),Literary modernism
The Snake's Skin,Grigol Robakidze,Modernism,Philosophical fiction
The Snake's Skin,Grigol Robakidze,Symbolism (arts),Philosophical fiction
The Tunnel (novel),William H. Gass,Postmodernism,Metafiction
The Tunnel (novel),William H. Gass,Metafiction,Metafiction
Middle C (novel),William H. Gass,Metafiction,Postmodern literature
The Tunnel (novel),William H. Gass,Postmodernism,Postmodern literature
The Tunnel (novel),William H. Gass,Metafiction,Postmodern literature
Middle C (novel),William H. Gass,Postmodernism,Postmodern literature
Perfume (novel),Patrick S�skind,Magic realism,Absurdism
Perfume (novel),Patrick S�skind,Magic realism,Horror fiction
The Auroras of Autumn,Wallace Stevens,Modernism,Poetry
Omensetter's Luck,William H. Gass,Metafiction,Novel
Omensetter's Luck,William H. Gass,Postmodernism,Novel
Perfume (novel),Patrick S�skind,Magic realism,Magic realism
Perfume (novel),Patrick S�skind,Magic realism,Mystery fiction
Faber Book of Irish Verse,John Montague (poet),Modernism,Anthology
The Dead Father,Donald Barthelme,Postmodern literature,List of science fiction novels
Randamoozham,M. T. Vasudevan Nair,Realism (arts),Drama (genre)
Choke (novel),Chuck Palahniuk,Postmodern literature,Black comedy
Haunted (Palahniuk novel),Chuck Palahniuk,Postmodern literature,Black comedy
Survivor (Palahniuk novel),Chuck Palahniuk,Postmodern literature,Black comedy
Choke (novel),Chuck Palahniuk,Minimalism,Black comedy
Haunted (Palahniuk novel),Chuck Palahniuk,Minimalism,Black comedy
Survivor (Palahniuk novel),Chuck Palahniuk,Minimalism,Black comedy
The Dead Father,Donald Barthelme,Postmodern literature,Postmodern literature
The Feast of the Goat,Mario Vargas Llosa,Latin American Boom,Dictator novel
Make Something Up,Chuck Palahniuk,Postmodern literature,Short story collection
Make Something Up,Chuck Palahniuk,Minimalism,Short story collection
Invisible Monsters,Chuck Palahniuk,Postmodern literature,Transgressive fiction
Invisible Monsters,Chuck Palahniuk,Minimalism,Transgressive fiction
Make Something Up,Chuck Palahniuk,Postmodern literature,Fiction
Make Something Up,Chuck Palahniuk,Minimalism,Fiction
Diary (novel),Chuck Palahniuk,Postmodern literature,Horror fiction
Haunted (Palahniuk novel),Chuck Palahniuk,Postmodern literature,Horror fiction
Lullaby (Palahniuk novel),Chuck Palahniuk,Postmodern literature,Horror fiction
Diary (novel),Chuck Palahniuk,Minimalism,Horror fiction
Haunted (Palahniuk novel),Chuck Palahniuk,Minimalism,Horror fiction
Lullaby (Palahniuk novel),Chuck Palahniuk,Minimalism,Horror fiction
Randamoozham,M. T. Vasudevan Nair,Realism (arts),Mythology
Fugitives and Refugees,Chuck Palahniuk,Postmodern literature,Non-fiction
Fugitives and Refugees,Chuck Palahniuk,Minimalism,Non-fiction
Diary (novel),Chuck Palahniuk,Postmodern literature,Satire
Rant (novel),Chuck Palahniuk,Postmodern literature,Satire
Pygmy (novel),Chuck Palahniuk,Postmodern literature,Satire
Haunted (Palahniuk novel),Chuck Palahniuk,Postmodern literature,Satire
Fight Club (novel),Chuck Palahniuk,Postmodern literature,Satire
Lullaby (Palahniuk novel),Chuck Palahniuk,Postmodern literature,Satire
Survivor (Palahniuk novel),Chuck Palahniuk,Postmodern literature,Satire
Snuff (Palahniuk novel),Chuck Palahniuk,Postmodern literature,Satire
Diary (novel),Chuck Palahniuk,Minimalism,Satire
Rant (novel),Chuck Palahniuk,Minimalism,Satire
Pygmy (novel),Chuck Palahniuk,Minimalism,Satire
Haunted (Palahniuk novel),Chuck Palahniuk,Minimalism,Satire
Fight Club (novel),Chuck Palahniuk,Minimalism,Satire
Lullaby (Palahniuk novel),Chuck Palahniuk,Minimalism,Satire
Survivor (Palahniuk novel),Chuck Palahniuk,Minimalism,Satire
Snuff (Palahniuk novel),Chuck Palahniuk,Minimalism,Satire
Cathedral (stories),Raymond Carver,Dirty realism,Short story
Cathedral (stories),Raymond Carver,Minimalism,Short story
The Feast of the Goat,Mario Vargas Llosa,Latin American Boom,Historical fiction
The Dream of the Celt,Mario Vargas Llosa,Latin American Boom,Historical fiction
The Way to Paradise,Mario Vargas Llosa,Latin American Boom,Historical fiction
Invisible Monsters,Chuck Palahniuk,Postmodern literature,Novel
Rant (novel),Chuck Palahniuk,Postmodern literature,Novel
No Longer Human,Osamu Dazai,I Novel,Novel
Invisible Monsters,Chuck Palahniuk,Minimalism,Novel
Rant (novel),Chuck Palahniuk,Minimalism,Novel
Tartarin of Tarascon,Alphonse Daudet,Naturalism (literature),Novel
No Longer Human,Osamu Dazai,Buraiha,Novel
Naalukettu (novel),M. T. Vasudevan Nair,Realism (arts),Novel
The Electric Kool-Aid Acid Test,Tom Wolfe,New Journalism,Creative nonfiction
The Purple Decades,Tom Wolfe,New Journalism,Anthology
Bi Any Other Name,Loraine Hutchins,Feminism,Anthology
Bi Any Other Name,Loraine Hutchins,LGBT conservatism,Anthology
Wilhelm Meister's Apprenticeship,Johann Wolfgang von Goethe,Sturm und Drang,Philosophical fiction
Wilhelm Meister's Apprenticeship,Johann Wolfgang von Goethe,Weimar Classicism,Philosophical fiction
La 628-E8,Octave Mirbeau,Expressionism,Travel literature
La 628-E8,Octave Mirbeau,Impressionism,Travel literature
Vladimir Mayakovsky (tragedy),Vladimir Mayakovsky,Russian Futurism,Avant-garde
Amaze Your Friends,Peter Doyle (writer),Pulp magazine,Crime fiction
Get Rich Quick (novel),Peter Doyle (writer),Pulp magazine,Crime fiction
La Gr�ve des �lecteurs,Octave Mirbeau,Expressionism,Pamphlet
La Gr�ve des �lecteurs,Octave Mirbeau,Impressionism,Pamphlet
The Painted Word,Tom Wolfe,New Journalism,Art criticism
From Bauhaus to Our House,Tom Wolfe,New Journalism,Art criticism
The Kandy-Kolored Tangerine-Flake Streamline Baby,Tom Wolfe,New Journalism,New Journalism
The Pump House Gang,Tom Wolfe,New Journalism,New Journalism
"Mauve Gloves & Madmen, Clutter & Vine",Tom Wolfe,New Journalism,New Journalism
Radical Chic & Mau-Mauing the Flak Catchers,Tom Wolfe,New Journalism,New Journalism
Hooking Up,Tom Wolfe,New Journalism,New Journalism
The Right Stuff (book),Tom Wolfe,New Journalism,New Journalism
Home of the Gentry,Ivan Turgenev,Literary realism,Romance novel
Rudin,Ivan Turgenev,Literary realism,Romance novel
On the Eve,Ivan Turgenev,Literary realism,Romance novel
The Novice (poem),Mikhail Lermontov,Romanticism,Verse (poetry)
About That,Vladimir Mayakovsky,Russian Futurism,Verse (poetry)
Vladimir Ilyich Lenin (poem),Vladimir Mayakovsky,Russian Futurism,Verse (poetry)
150 000 000,Vladimir Mayakovsky,Russian Futurism,Verse (poetry)
The War and the World,Vladimir Mayakovsky,Russian Futurism,Verse (poetry)
The Man (poem),Vladimir Mayakovsky,Russian Futurism,Verse (poetry)
Backbone Flute,Vladimir Mayakovsky,Russian Futurism,Verse (poetry)
A Cloud in Trousers,Vladimir Mayakovsky,Russian Futurism,Verse (poetry)
The Novice (poem),Mikhail Lermontov,Literary realism,Verse (poetry)
The Prophet (book),Kahlil Gibran,Mahjar,Prose poetry
The Prophet (book),Kahlil Gibran,The Pen League,Prose poetry
The Bride of Newgate,John Dickson Carr,Golden Age of Detective Fiction,Historical mystery
The Bastard of Istanbul,Elif ?afak,Literary fiction,Drama
The Bastard of Istanbul,Elif ?afak,Postmodernism,Drama
The Bastard of Istanbul,Elif ?afak,Historical fiction,Drama
The Bastard of Istanbul,Elif ?afak,Magic realism,Drama
I Am Charlotte Simmons,Tom Wolfe,New Journalism,Fiction
Torrents of Spring,Ivan Turgenev,Literary realism,Fiction
Smoke (novel),Ivan Turgenev,Literary realism,Fiction
Wilhelm Meister's Apprenticeship,Johann Wolfgang von Goethe,Sturm und Drang,Bildungsroman
Wilhelm Meister's Apprenticeship,Johann Wolfgang von Goethe,Weimar Classicism,Bildungsroman
And So to Murder,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Men Who Explained Miracles,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Red Widow Murders,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Demoniacs,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
Murder in the Submarine Zone,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
A Graveyard to Let,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
Behind the Crimson Blind,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
Drop to His Death,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
Night at the Mocking Widow,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
Seeing is Believing (novel),John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
She Died a Lady,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Bowstring Murders,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Gilded Man,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Punch and Judy Murders,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Reader is Warned,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Skeleton in the Clock,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Unicorn Murders,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
Till Death Do Us Part (Carr novel),John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
In Spite of Thunder,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
He Wouldn't Kill Patience,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
Poison in Jest,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Eight of Swords,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Black Spectacles,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Burning Court,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Man Who Could Not Shudder,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
My Late Wives,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
Death in Five Boxes,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Blind Barber,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Hollow Man (Carr novel),John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Four False Weapons,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Emperor's Snuff-Box,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Judas Window,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Witch of the Low Tide,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Dead Man's Knock,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The House at Satan's Elbow,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Sleeping Sphinx,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Curse of the Bronze Lamp,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Case of the Constant Suicides,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
He Who Whispers,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Crooked Hinge,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Exploits of Sherlock Holmes,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
"Dr. Fell, Detective, and Other Stories",John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
Castle Skull,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
Death Turns the Tables,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
Hag's Nook,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
Patrick Butler for the Defense,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Arabian Nights Murder,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Devil in Velvet,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Problem of the Wire Cage,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
To Wake the Dead,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Ten Teacups,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
Scandal at High Chimneys,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Waxworks Murder,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Mad Hatter Mystery,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Nine Wrong Answers,John Dickson Carr,Golden Age of Detective Fiction,Detective fiction
The Sorrows of Young Werther,Johann Wolfgang von Goethe,Sturm und Drang,Epistolary novel
The Sorrows of Young Werther,Johann Wolfgang von Goethe,Weimar Classicism,Epistolary novel
The Burning Court,John Dickson Carr,Golden Age of Detective Fiction,Horror fiction
The New Journalism,Tom Wolfe,New Journalism,Non-fiction
The Right Stuff (book),Tom Wolfe,New Journalism,Non-fiction
The Bonfire of the Vanities,Tom Wolfe,New Journalism,Political fiction
Home of the Gentry,Ivan Turgenev,Literary realism,Political fiction
On the Eve,Ivan Turgenev,Literary realism,Political fiction
Rudin,Ivan Turgenev,Literary realism,Politics
Fathers and Sons (novel),Ivan Turgenev,Literary realism,Romanticism
The Men Who Explained Miracles,John Dickson Carr,Golden Age of Detective Fiction,Short story
"Dr. Fell, Detective, and Other Stories",John Dickson Carr,Golden Age of Detective Fiction,Short story
Contes cruels (Mirbeau),Octave Mirbeau,Expressionism,Short story
Contes cruels (Mirbeau),Octave Mirbeau,Impressionism,Short story
The Demoniacs,John Dickson Carr,Golden Age of Detective Fiction,Historical fiction
The Witch of the Low Tide,John Dickson Carr,Golden Age of Detective Fiction,Historical fiction
The Devil in Velvet,John Dickson Carr,Golden Age of Detective Fiction,Historical fiction
Scandal at High Chimneys,John Dickson Carr,Golden Age of Detective Fiction,Historical fiction
Silence (novel),Sh?saku End?,The Third Generation of Postwar Writers,Historical fiction
The Samurai (novel),Sh?saku End?,The Third Generation of Postwar Writers,Historical fiction
And So to Murder,John Dickson Carr,Golden Age of Detective Fiction,Novel
The Red Widow Murders,John Dickson Carr,Golden Age of Detective Fiction,Novel
Behind the Crimson Blind,John Dickson Carr,Golden Age of Detective Fiction,Novel
He Wouldn't Kill Patience,John Dickson Carr,Golden Age of Detective Fiction,Novel
Sunset Song,Lewis Grassic Gibbon,Scottish Renaissance,Novel
Dans le ciel,Octave Mirbeau,Expressionism,Novel
Dans le ciel,Octave Mirbeau,Impressionism,Novel
Adolphe,Benjamin Constant,Romanticism,Novel
And So to Murder,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Men Who Explained Miracles,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Red Widow Murders,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Demoniacs,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
Murder in the Submarine Zone,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
A Graveyard to Let,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
Behind the Crimson Blind,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
Drop to His Death,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
Night at the Mocking Widow,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
Seeing is Believing (novel),John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
She Died a Lady,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Bowstring Murders,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Cavalier's Cup,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Gilded Man,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Punch and Judy Murders,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Reader is Warned,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Skeleton in the Clock,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Unicorn Murders,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
Till Death Do Us Part (Carr novel),John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
In Spite of Thunder,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
He Wouldn't Kill Patience,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
Poison in Jest,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Eight of Swords,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Black Spectacles,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Burning Court,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Man Who Could Not Shudder,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
My Late Wives,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
Death in Five Boxes,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Blind Barber,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Hollow Man (Carr novel),John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Four False Weapons,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Emperor's Snuff-Box,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Judas Window,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Witch of the Low Tide,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Dead Man's Knock,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The House at Satan's Elbow,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Sleeping Sphinx,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Curse of the Bronze Lamp,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Case of the Constant Suicides,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
He Who Whispers,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Crooked Hinge,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
"Dr. Fell, Detective, and Other Stories",John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
Castle Skull,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
Death Turns the Tables,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
Hag's Nook,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
Patrick Butler for the Defense,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Arabian Nights Murder,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Devil in Velvet,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Problem of the Wire Cage,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
To Wake the Dead,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The White Priory Murders,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Plague Court Murders,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Ten Teacups,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
Scandal at High Chimneys,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Waxworks Murder,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Mad Hatter Mystery,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
The Nine Wrong Answers,John Dickson Carr,Golden Age of Detective Fiction,Mystery fiction
Business is business,Octave Mirbeau,Expressionism,Comedy
Business is business,Octave Mirbeau,Impressionism,Comedy
Journey to Karabakh,Aka Morchiladze,Postmodernism,Adventure fiction
Clockwork Prince,Cassandra Clare,Fantasy of manners,Fantasy literature
Clockwork Princess,Cassandra Clare,Fantasy of manners,Fantasy literature
Clockwork Angel,Cassandra Clare,Fantasy of manners,Fantasy literature
Clockwork Prince,Cassandra Clare,Urban fantasy,Fantasy literature
Clockwork Princess,Cassandra Clare,Urban fantasy,Fantasy literature
Clockwork Angel,Cassandra Clare,Urban fantasy,Fantasy literature
City of Glass (Clare novel),Cassandra Clare,Fantasy of manners,Fantasy
City of Ashes,Cassandra Clare,Fantasy of manners,Fantasy
City of Lost Souls (novel),Cassandra Clare,Fantasy of manners,Fantasy
City of Fallen Angels,Cassandra Clare,Fantasy of manners,Fantasy
City of Heavenly Fire,Cassandra Clare,Fantasy of manners,Fantasy
City of Bones (Clare novel),Cassandra Clare,Fantasy of manners,Fantasy
City of Glass (Clare novel),Cassandra Clare,Urban fantasy,Fantasy
City of Ashes,Cassandra Clare,Urban fantasy,Fantasy
City of Lost Souls (novel),Cassandra Clare,Urban fantasy,Fantasy
City of Fallen Angels,Cassandra Clare,Urban fantasy,Fantasy
City of Heavenly Fire,Cassandra Clare,Urban fantasy,Fantasy
City of Bones (Clare novel),Cassandra Clare,Urban fantasy,Fantasy
The Doll (novel),Boles?aw Prus,Positivism in Poland,Social novel
Yo-Yo Boing!,Giannina Braschi,Postcolonialism,Fiction
Yo-Yo Boing!,Giannina Braschi,McOndo,Fiction
Yo-Yo Boing!,Giannina Braschi,Nuyorican,Fiction
Yo-Yo Boing!,Giannina Braschi,Spoken word,Fiction
Butcher's Broom (book),Neil M. Gunn,Scottish Renaissance,Fiction
Young Art and Old Hector,Neil M. Gunn,Scottish Renaissance,Fiction
The Green Isle of the Great Deep,Neil M. Gunn,Scottish Renaissance,Fiction
Highland River,Neil M. Gunn,Scottish Renaissance,Fiction
Yo-Yo Boing!,Giannina Braschi,Postmodernism,Fiction
City of Lost Souls (novel),Cassandra Clare,Fantasy of manners,Adventure
Clockwork Prince,Cassandra Clare,Fantasy of manners,Adventure
Clockwork Princess,Cassandra Clare,Fantasy of manners,Adventure
City of Fallen Angels,Cassandra Clare,Fantasy of manners,Adventure
City of Heavenly Fire,Cassandra Clare,Fantasy of manners,Adventure
Clockwork Angel,Cassandra Clare,Fantasy of manners,Adventure
City of Lost Souls (novel),Cassandra Clare,Urban fantasy,Adventure
Clockwork Prince,Cassandra Clare,Urban fantasy,Adventure
Clockwork Princess,Cassandra Clare,Urban fantasy,Adventure
City of Fallen Angels,Cassandra Clare,Urban fantasy,Adventure
City of Heavenly Fire,Cassandra Clare,Urban fantasy,Adventure
Clockwork Angel,Cassandra Clare,Urban fantasy,Adventure
Santa Esperanza,Aka Morchiladze,Postmodernism,Detective fiction
Mouse Noses on Toast,Daren King,New Puritans,Children's literature
Pharaoh (novel),Boles?aw Prus,Positivism in Poland,Historical fiction
The Prairie,James Fenimore Cooper,Romanticism,Adventure fiction
The Deerslayer,James Fenimore Cooper,Romanticism,Adventure fiction
The Adventures of Harry Richmond,George Meredith,Victorian literature,Adventure fiction
Clockwork Prince,Cassandra Clare,Contemporary fantasy,Fantasy literature
Clockwork Princess,Cassandra Clare,Contemporary fantasy,Fantasy literature
Clockwork Angel,Cassandra Clare,Contemporary fantasy,Fantasy literature
The Shaving of Shagpat,George Meredith,Victorian literature,Fantasy literature
The Ordeal of Richard Feverel,George Meredith,Victorian literature,Philosophical fiction
Lilies In December,Agustus Montrose,Literary modernism,Psychological novel
The Seven Who Were Hanged,Leonid Andreyev,Realism (arts),Psychological horror
Alice Lorraine,R. D. Blackmore,Romanticism,Sensation novel
Inspector French and the Starvel Tragedy,Freeman Wills Crofts,Golden Age of Detective Fiction,Crime fiction
The Scoop and Behind the Screen,Freeman Wills Crofts,Golden Age of Detective Fiction,Crime fiction
Death of a Train,Freeman Wills Crofts,Golden Age of Detective Fiction,Crime fiction
The Adventures of Harry Richmond,George Meredith,Victorian literature,Picaresque novel
City of Glass (Clare novel),Cassandra Clare,Contemporary fantasy,Fantasy
City of Ashes,Cassandra Clare,Contemporary fantasy,Fantasy
City of Lost Souls (novel),Cassandra Clare,Contemporary fantasy,Fantasy
City of Fallen Angels,Cassandra Clare,Contemporary fantasy,Fantasy
City of Heavenly Fire,Cassandra Clare,Contemporary fantasy,Fantasy
City of Bones (Clare novel),Cassandra Clare,Contemporary fantasy,Fantasy
The Egoist (novel),George Meredith,Victorian literature,Tragicomedy
The Adventures of Harry Richmond,George Meredith,Victorian literature,Romance novel
Three Weeks (book),Elinor Glyn,Modernism,Erotic romance novels
City of Lost Souls (novel),Cassandra Clare,Contemporary fantasy,Adventure
Clockwork Prince,Cassandra Clare,Contemporary fantasy,Adventure
Clockwork Princess,Cassandra Clare,Contemporary fantasy,Adventure
City of Fallen Angels,Cassandra Clare,Contemporary fantasy,Adventure
City of Heavenly Fire,Cassandra Clare,Contemporary fantasy,Adventure
Clockwork Angel,Cassandra Clare,Contemporary fantasy,Adventure
"Love, Heartache and Other Stories",Cristian Hernandez Gonzalez,Romantic poetry,Poetry
"Love, Heartache and Other Stories",Cristian Hernandez Gonzalez,Postmodernism,Poetry
A Vision of Doom,Ambrose Bierce,Literary realism,Poetry
Beauchamp's Career,George Meredith,Victorian literature,Political fiction
The Damned Thing (short story),Ambrose Bierce,Literary realism,Short story
Lionel Lincoln,James Fenimore Cooper,Romanticism,Historical fiction
The Last of the Mohicans,James Fenimore Cooper,Romanticism,Historical fiction
De Leeuw van Vlaanderen (novel),Hendrik Conscience,Romanticism,Historical fiction
The Pioneers (novel),James Fenimore Cooper,Romanticism,Historical fiction
The Prairie,James Fenimore Cooper,Romanticism,Historical fiction
The Deerslayer,James Fenimore Cooper,Romanticism,Historical fiction
Kelidar,Mahmoud Dowlatabadi,Persian literature,Novel
Precaution (novel),James Fenimore Cooper,Romanticism,Novel
New Grub Street,George Gissing,Naturalism (literature),Novel
In the Year of Jubilee,George Gissing,Naturalism (literature),Novel
Will Warburton,George Gissing,Naturalism (literature),Novel
Denzil Quarrier,George Gissing,Naturalism (literature),Novel
The Floating Admiral,Freeman Wills Crofts,Golden Age of Detective Fiction,Mystery fiction
The 12.30 from Croydon,Freeman Wills Crofts,Golden Age of Detective Fiction,Mystery fiction
Annie on My Mind,Nancy Garden,LGBT literature,Lesbian fiction
Women and Men,Joseph McElroy,Postmodern literature,Postmodern literature
Hind's Kidnap,Joseph McElroy,Postmodern literature,Postmodern literature
Cannonball (novel),Joseph McElroy,Postmodern literature,Postmodern literature
The Age of Wire and String,Ben Marcus,Experimental literature,Postmodern literature
The Age of Wire and String,Ben Marcus,Postmodernism,Postmodern literature
A Escrava Isaura (novel),Bernardo Guimar�es,Romanticism,Romance novel
Annie on My Mind,Nancy Garden,LGBT literature,Romance novel
Superstars (novel),Ann Scott,Postmodern literature,Fiction
The Rise and Fall of Comrade Zylo,Drit�ro Agolli,Postmodern literature,Fiction
I-Juca-Pirama,Gon�alves Dias,Romanticism,Narrative poetry
The Book of My Lives,Aleksandar Hemon,Postmodernism,Non-fiction
Subway Art,Henry Chalfant,Street art,Photography
Lookout Cartridge,Joseph McElroy,Postmodern literature,Postmodernism
Actress in the House,Joseph McElroy,Postmodern literature,Postmodernism
A Smuggler's Bible,Joseph McElroy,Postmodern literature,Postmodernism
Plus (novel),Joseph McElroy,Postmodern literature,Postmodernism
Ancient History (novel),Joseph McElroy,Postmodern literature,Postmodernism
