name,author_name,author_movement,genre
Flight: A Quantum Fiction Novel,Vanna Bonta,Quantum fiction,Urban fantasy
Flight: A Quantum Fiction Novel,Vanna Bonta,Quantum fiction,Magic realism
Murder Must Advertise,Dorothy L. Sayers,Golden Age of Detective Fiction,Mystery fiction
The Floating Admiral,Dorothy L. Sayers,Golden Age of Detective Fiction,Mystery fiction
Clouds of Witness,Dorothy L. Sayers,Golden Age of Detective Fiction,Mystery fiction
Gaudy Night,Dorothy L. Sayers,Golden Age of Detective Fiction,Mystery fiction
The Documents in the Case,Dorothy L. Sayers,Golden Age of Detective Fiction,Mystery fiction
Busman's Honeymoon,Dorothy L. Sayers,Golden Age of Detective Fiction,Mystery fiction
Have His Carcase,Dorothy L. Sayers,Golden Age of Detective Fiction,Mystery fiction
Strong Poison,Dorothy L. Sayers,Golden Age of Detective Fiction,Mystery fiction
The Five Red Herrings,Dorothy L. Sayers,Golden Age of Detective Fiction,Mystery fiction
The Nine Tailors,Dorothy L. Sayers,Golden Age of Detective Fiction,Mystery fiction
"Thrones, Dominations",Dorothy L. Sayers,Golden Age of Detective Fiction,Mystery fiction
Unnatural Death,Dorothy L. Sayers,Golden Age of Detective Fiction,Mystery fiction
The Unpleasantness at the Bellona Club,Dorothy L. Sayers,Golden Age of Detective Fiction,Mystery fiction
Zami: A New Spelling of My Name,Audre Lorde,Civil and political rights,Biography
Against Sadomasochism,Audre Lorde,Civil and political rights,Anthology
City of a Thousand Suns,Samuel R. Delany,New Wave science fiction,Science fantasy
The Jewels of Aptor,Samuel R. Delany,New Wave science fiction,Science fantasy
Captives of the Flame,Samuel R. Delany,New Wave science fiction,Science fantasy
The Towers of Toron,Samuel R. Delany,New Wave science fiction,Science fantasy
The Fall of the Towers,Samuel R. Delany,New Wave science fiction,Science fantasy
Authority (novel),Jeff VanderMeer,New Weird,Fantasy literature
Finch (novel),Jeff VanderMeer,New Weird,Fantasy literature
Acceptance (novel),Jeff VanderMeer,New Weird,Fantasy literature
Annihilation (VanderMeer novel),Jeff VanderMeer,New Weird,Fantasy literature
First Among Sequels,Jasper Fforde,Postmodern literature,Fantasy literature
Lost in a Good Book,Jasper Fforde,Postmodern literature,Fantasy literature
Something Rotten,Jasper Fforde,Postmodern literature,Fantasy literature
The Eyre Affair,Jasper Fforde,Postmodern literature,Fantasy literature
The Well of Lost Plots,Jasper Fforde,Postmodern literature,Fantasy literature
The Autobiography of an Ex-Colored Man,James Weldon Johnson,Harlem Renaissance,African-American literature
Phallos (novella),Samuel R. Delany,New Wave science fiction,Novella
The Last Dragonslayer,Jasper Fforde,Postmodern literature,Fantasy
The Song of the Quarkbeast,Jasper Fforde,Postmodern literature,Fantasy
The Fourth Bear,Jasper Fforde,Postmodern literature,Fantasy
"Aye, and Gomorrah, and other stories",Samuel R. Delany,New Wave science fiction,Fantasy
Distant Stars,Samuel R. Delany,New Wave science fiction,Fantasy
Driftglass/Starshards,Samuel R. Delany,New Wave science fiction,Fantasy
The Complete Nebula Award-Winning Fiction,Samuel R. Delany,New Wave science fiction,Fantasy
Driftglass,Samuel R. Delany,New Wave science fiction,Fantasy
Veniss Underground,Jeff VanderMeer,New Weird,List of science fiction novels
Babel-17,Samuel R. Delany,New Wave science fiction,List of science fiction novels
Camp Concentration,Thomas M. Disch,New Wave science fiction,List of science fiction novels
Stars in My Pocket Like Grains of Sand,Samuel R. Delany,New Wave science fiction,List of science fiction novels
Nova (novel),Samuel R. Delany,New Wave science fiction,List of science fiction novels
334 (novel),Thomas M. Disch,New Wave science fiction,List of science fiction novels
Dhalgren,Samuel R. Delany,New Wave science fiction,List of science fiction novels
They Fly at �iron,Samuel R. Delany,New Wave science fiction,List of science fiction novels
Triton (novel),Samuel R. Delany,New Wave science fiction,List of science fiction novels
The Forever War,Joe Haldeman,Military science fiction,Military science fiction
The Recognitions,William Gaddis,Postmodern literature,Postmodern literature
Lord Weary's Castle,Robert Lowell,Confessional poetry,Poetry (magazine)
The Weird,Jeff VanderMeer,New Weird,Weird fiction
First Among Sequels,Jasper Fforde,Postmodern literature,Alternate history
Lost in a Good Book,Jasper Fforde,Postmodern literature,Alternate history
Something Rotten,Jasper Fforde,Postmodern literature,Alternate history
The Eyre Affair,Jasper Fforde,Postmodern literature,Alternate history
The Well of Lost Plots,Jasper Fforde,Postmodern literature,Alternate history
The Motion of Light in Water,Samuel R. Delany,New Wave science fiction,Autobiography
Bastard out of Carolina,Dorothy Allison,Feminism,Bildungsroman
Equinox (novel),Samuel R. Delany,New Wave science fiction,Erotica
Authority (novel),Jeff VanderMeer,New Weird,Horror fiction
Veniss Underground,Jeff VanderMeer,New Weird,Horror fiction
Acceptance (novel),Jeff VanderMeer,New Weird,Horror fiction
Annihilation (VanderMeer novel),Jeff VanderMeer,New Weird,Horror fiction
Silent Interviews,Samuel R. Delany,New Wave science fiction,Non-fiction
Shorter Views,Samuel R. Delany,New Wave science fiction,Non-fiction
Heavenly Breakfast,Samuel R. Delany,New Wave science fiction,Non-fiction
Longer Views,Samuel R. Delany,New Wave science fiction,Non-fiction
"Times Square Red, Times Square Blue",Samuel R. Delany,New Wave science fiction,Non-fiction
The Cancer Journals,Audre Lorde,Civil and political rights,Non-fiction
The Focus of Life,Austin Osman Spare,Surrealism,Occult
Earth Inferno,Austin Osman Spare,Surrealism,Occult
The Book of Pleasure,Austin Osman Spare,Surrealism,Occult
The Focus of Life,Austin Osman Spare,Symbolism (arts),Occult
Earth Inferno,Austin Osman Spare,Symbolism (arts),Occult
The Book of Pleasure,Austin Osman Spare,Symbolism (arts),Occult
Pervenci,Petar Preradovi?,Illyrian movement,Poetry
For the Union Dead,Robert Lowell,Confessional poetry,Poetry
Forever Free (novel),Joe Haldeman,Military science fiction,Science fiction
Forever Peace,Joe Haldeman,Military science fiction,Science fiction
Planet of Judgment,Joe Haldeman,Military science fiction,Science fiction
Camouflage (novel),Joe Haldeman,Military science fiction,Science fiction
Peace and War,Joe Haldeman,Military science fiction,Science fiction
World Without End (Haldeman novel),Joe Haldeman,Military science fiction,Science fiction
Authority (novel),Jeff VanderMeer,New Weird,Science fiction
Acceptance (novel),Jeff VanderMeer,New Weird,Science fiction
Annihilation (VanderMeer novel),Jeff VanderMeer,New Weird,Science fiction
The Eyre Affair,Jasper Fforde,Postmodern literature,Science fiction
The Einstein Intersection,Samuel R. Delany,New Wave science fiction,Science fiction
Empire Star,Samuel R. Delany,New Wave science fiction,Science fiction
"Aye, and Gomorrah, and other stories",Samuel R. Delany,New Wave science fiction,Science fiction
One Hundred and Two H-Bombs,Thomas M. Disch,New Wave science fiction,Science fiction
Distant Stars,Samuel R. Delany,New Wave science fiction,Science fiction
Driftglass/Starshards,Samuel R. Delany,New Wave science fiction,Science fiction
Bad Moon Rising: An Anthology of Political Forebodings,Thomas M. Disch,New Wave science fiction,Science fiction
Quark/3,Samuel R. Delany,New Wave science fiction,Science fiction
Getting into Death,Thomas M. Disch,New Wave science fiction,Science fiction
Quark/1,Samuel R. Delany,New Wave science fiction,Science fiction
Quark/2,Samuel R. Delany,New Wave science fiction,Science fiction
The Complete Nebula Award-Winning Fiction,Samuel R. Delany,New Wave science fiction,Science fiction
Driftglass,Samuel R. Delany,New Wave science fiction,Science fiction
Getting into Death and Other Stories,Thomas M. Disch,New Wave science fiction,Science fiction
Nebula Winners Thirteen,Samuel R. Delany,New Wave science fiction,Science fiction
Quark/4,Samuel R. Delany,New Wave science fiction,Science fiction
Under Compulsion,Thomas M. Disch,New Wave science fiction,Science fiction
White Fang Goes Dingo,Thomas M. Disch,New Wave science fiction,Science fiction
The Ballad of Beta-2,Samuel R. Delany,New Wave science fiction,Science fiction
The Genocides,Thomas M. Disch,New Wave science fiction,Science fiction
On Wings of Song,Thomas M. Disch,New Wave science fiction,Science fiction
The New Improved Sun,Thomas M. Disch,New Wave science fiction,Science fiction
Distant Stars,Samuel R. Delany,New Wave science fiction,Short story
Driftglass/Starshards,Samuel R. Delany,New Wave science fiction,Short story
Atlantis: Three Tales,Samuel R. Delany,New Wave science fiction,Short story
The Complete Nebula Award-Winning Fiction,Samuel R. Delany,New Wave science fiction,Short story
Driftglass,Samuel R. Delany,New Wave science fiction,Short story
334 (novel),Thomas M. Disch,New Wave science fiction,Utopian and dystopian fiction
The Death of Virgil,Hermann Broch,Modernism,Historical fiction
Flight from Nev�r�on,Samuel R. Delany,New Wave science fiction,Sword and sorcery
Nevery�na,Samuel R. Delany,New Wave science fiction,Sword and sorcery
Return to Nev�r�on,Samuel R. Delany,New Wave science fiction,Sword and sorcery
Tales of Nev�r�on,Samuel R. Delany,New Wave science fiction,Sword and sorcery
A Frolic of His Own,William Gaddis,Postmodern literature,Novel
Dark Reflections,Samuel R. Delany,New Wave science fiction,Novel
The Eyre Affair,Jasper Fforde,Postmodern literature,Mystery fiction
The Fourth Bear,Jasper Fforde,Postmodern literature,Mystery fiction
Finch (novel),Jeff VanderMeer,New Weird,Noir fiction
Vazha-Pshavela (biographical novel),Miho Mosulishvili,Modernism,Biography
Vazha-Pshavela (biographical novel),Miho Mosulishvili,Postmodernism,Biography
The Dialectic of Sex,Shulamith Firestone,Second-wave feminism,Philosophy
Mawali (novel),Surender Mohan Pathak,Golden Age of Detective Fiction,Crime fiction
